District,Region,Date,Wind_U_Component
Abim,Northern,1988-06-30,-0.57515377
Abim,Northern,1988-07-31,-0.2516166
Abim,Northern,1988-08-31,-0.4805208
Abim,Northern,1988-09-30,-0.35629484
Abim,Northern,1988-10-31,-1.590828
Abim,Northern,1988-11-30,-2.2159374
Abim,Northern,1988-12-31,-3.550727
Abim,Northern,1989-01-31,-1.1381732
Abim,Northern,1989-02-28,-2.52321
Abim,Northern,1989-03-31,-0.90298826
Abim,Northern,1989-04-30,-1.5697845
Abim,Northern,1989-05-31,-0.3229729
Abim,Northern,1989-06-30,-0.44424257
Abim,Northern,1989-07-31,-0.30449945
Abim,Northern,1989-08-31,-0.42095664
Abim,Northern,1989-09-30,-0.8504615
Abim,Northern,1989-10-31,-1.3931881
Abim,Northern,1989-11-30,-2.813423
Abim,Northern,1989-12-31,-2.0403802
Abim,Northern,1990-01-31,-3.0288315
Abim,Northern,1990-02-28,-0.92059606
Abim,Northern,1990-03-31,-1.5270544
Abim,Northern,1990-04-30,-0.6757159
Abim,Northern,1990-05-31,-0.41595992
Abim,Northern,1990-06-30,-0.47658774
Abim,Northern,1990-07-31,-0.52137464
Abim,Northern,1990-08-31,-0.36511573
Abim,Northern,1990-09-30,-0.24919367
Abim,Northern,1990-10-31,-1.5626888
Abim,Northern,1990-11-30,-2.599748
Abim,Northern,1990-12-31,-2.669636
Abim,Northern,1991-01-31,-2.2630117
Abim,Northern,1991-02-28,-1.5458711
Abim,Northern,1991-03-31,-1.9465598
Abim,Northern,1991-04-30,-0.7600991
Abim,Northern,1991-05-31,-0.013644976
Abim,Northern,1991-06-30,-0.21798311
Abim,Northern,1991-07-31,-0.5225137
Abim,Northern,1991-08-31,-0.3651372
Abim,Northern,1991-09-30,-1.0444828
Abim,Northern,1991-10-31,-0.77403164
Abim,Northern,1991-11-30,-2.3544085
Abim,Northern,1991-12-31,-2.129174
Abim,Northern,1992-01-31,-2.859423
Abim,Northern,1992-02-29,-1.3729587
Abim,Northern,1992-03-31,-2.810318
Abim,Northern,1992-04-30,-1.0781684
Abim,Northern,1992-05-31,-0.2855452
Abim,Northern,1992-06-30,0.05835742
Abim,Northern,1992-07-31,-0.40060523
Abim,Northern,1992-08-31,-0.57863086
Abim,Northern,1992-09-30,-0.81990236
Abim,Northern,1992-10-31,-0.93009704
Abim,Northern,1992-11-30,-2.3533182
Abim,Northern,1992-12-31,-2.2906501
Abim,Northern,1993-01-31,-2.2017932
Abim,Northern,1993-02-28,-2.2050464
Abim,Northern,1993-03-31,-1.6283787
Abim,Northern,1993-04-30,-2.0349562
Abim,Northern,1993-05-31,-0.7053547
Abim,Northern,1993-06-30,-0.5980765
Abim,Northern,1993-07-31,-0.49687055
Abim,Northern,1993-08-31,-0.47643867
Abim,Northern,1993-09-30,-0.6718137
Abim,Northern,1993-10-31,-2.0054061
Abim,Northern,1993-11-30,-2.66856
Abim,Northern,1993-12-31,-3.3974936
Abim,Northern,1994-01-31,-2.110279
Abim,Northern,1994-02-28,-0.7410543
Abim,Northern,1994-03-31,-0.8471053
Abim,Northern,1994-04-30,-1.0456835
Abim,Northern,1994-05-31,-0.41824833
Abim,Northern,1994-06-30,-0.1869089
Abim,Northern,1994-07-31,-0.49990642
Abim,Northern,1994-08-31,-0.59506136
Abim,Northern,1994-09-30,-1.049233
Abim,Northern,1994-10-31,-1.5492913
Abim,Northern,1994-11-30,-1.301699
Abim,Northern,1994-12-31,-3.1540413
Abim,Northern,1995-01-31,-2.2464163
Abim,Northern,1995-02-28,-1.2839104
Abim,Northern,1995-03-31,-2.006361
Abim,Northern,1995-04-30,-0.98297906
Abim,Northern,1995-05-31,-0.30367315
Abim,Northern,1995-06-30,-0.022102118
Abim,Northern,1995-07-31,-0.4285474
Abim,Northern,1995-08-31,-0.5326018
Abim,Northern,1995-09-30,-0.7204073
Abim,Northern,1995-10-31,-1.1187469
Abim,Northern,1995-11-30,-1.5962139
Abim,Northern,1995-12-31,-3.0913703
Abim,Northern,1996-01-31,-2.410564
Abim,Northern,1996-02-29,-1.3233019
Abim,Northern,1996-03-31,-1.8217854
Abim,Northern,1996-04-30,-0.5731585
Abim,Northern,1996-05-31,-0.41580012
Abim,Northern,1996-06-30,-0.38504776
Abim,Northern,1996-07-31,-0.48144957
Abim,Northern,1996-08-31,-0.4529575
Abim,Northern,1996-09-30,-0.4315498
Abim,Northern,1996-10-31,-1.5989181
Abim,Northern,1996-11-30,-2.6903956
Abim,Northern,1996-12-31,-2.63158
Abim,Northern,1997-01-31,-2.262413
Abim,Northern,1997-02-28,-2.4544249
Abim,Northern,1997-03-31,-3.3334997
Abim,Northern,1997-04-30,-0.8490258
Abim,Northern,1997-05-31,-0.54732877
Abim,Northern,1997-06-30,-0.61506015
Abim,Northern,1997-07-31,-0.47795498
Abim,Northern,1997-08-31,-0.6854139
Abim,Northern,1997-09-30,-2.6775017
Abim,Northern,1997-10-31,-2.3080091
Abim,Northern,1997-11-30,-1.8964305
Abim,Northern,1997-12-31,-1.9078976
Abim,Northern,1998-01-31,-2.3798063
Abim,Northern,1998-02-28,-1.4645625
Abim,Northern,1998-03-31,-3.204571
Abim,Northern,1998-04-30,-1.5051209
Abim,Northern,1998-05-31,-0.558154
Abim,Northern,1998-06-30,-0.28190207
Abim,Northern,1998-07-31,-0.68011093
Abim,Northern,1998-08-31,-0.6671112
Abim,Northern,1998-09-30,-0.7168009
Abim,Northern,1998-10-31,-0.48220292
Abim,Northern,1998-11-30,-3.1029084
Abim,Northern,1998-12-31,-3.4780953
Abim,Northern,1999-01-31,-2.432129
Abim,Northern,1999-02-28,-3.97272
Abim,Northern,1999-03-31,-1.158831
Abim,Northern,1999-04-30,-0.8413363
Abim,Northern,1999-05-31,-0.27021226
Abim,Northern,1999-06-30,-0.32983232
Abim,Northern,1999-07-31,-0.41120514
Abim,Northern,1999-08-31,-0.18361218
Abim,Northern,1999-09-30,-0.33088908
Abim,Northern,1999-10-31,-0.60781354
Abim,Northern,1999-11-30,-3.0180395
Abim,Northern,1999-12-31,-2.935896
Abim,Northern,2000-01-31,-2.756379
Abim,Northern,2000-02-29,-2.0353358
Abim,Northern,2000-03-31,-1.7582146
Abim,Northern,2000-04-30,-0.964674
Abim,Northern,2000-05-31,-0.47320104
Abim,Northern,2000-06-30,-0.38914695
Abim,Northern,2000-07-31,-0.413349
Abim,Northern,2000-08-31,-0.50441736
Abim,Northern,2000-09-30,-0.88547474
Abim,Northern,2000-10-31,-0.9025278
Abim,Northern,2000-11-30,-2.3121502
Abim,Northern,2000-12-31,-1.7423038
Abim,Northern,2001-01-31,-0.32366416
Abim,Northern,2001-02-28,-1.9405004
Abim,Northern,2001-03-31,-1.2534469
Abim,Northern,2001-04-30,-1.0094923
Abim,Northern,2001-05-31,-0.12532581
Abim,Northern,2001-06-30,-0.32349756
Abim,Northern,2001-07-31,-0.25437808
Abim,Northern,2001-08-31,-0.1565218
Abim,Northern,2001-09-30,-0.2931197
Abim,Northern,2001-10-31,-0.61135715
Abim,Northern,2001-11-30,-1.9070196
Abim,Northern,2001-12-31,-3.3055432
Abim,Northern,2002-01-31,-1.5591925
Abim,Northern,2002-02-28,-2.6506455
Abim,Northern,2002-03-31,-1.0285298
Abim,Northern,2002-04-30,-1.6295704
Abim,Northern,2002-05-31,-0.50503796
Abim,Northern,2002-06-30,-0.33194634
Abim,Northern,2002-07-31,-0.56534225
Abim,Northern,2002-08-31,-0.5590257
Abim,Northern,2002-09-30,-1.3655657
Abim,Northern,2002-10-31,-1.5038298
Abim,Northern,2002-11-30,-1.7998835
Abim,Northern,2002-12-31,-2.1941154
Abim,Northern,2003-01-31,-1.9618506
Abim,Northern,2003-02-28,-1.8562664
Abim,Northern,2003-03-31,-2.4403212
Abim,Northern,2003-04-30,-1.2844305
Abim,Northern,2003-05-31,-0.5130648
Abim,Northern,2003-06-30,-0.3054874
Abim,Northern,2003-07-31,-0.29918543
Abim,Northern,2003-08-31,-0.633925
Abim,Northern,2003-09-30,-0.84168905
Abim,Northern,2003-10-31,-1.9789814
Abim,Northern,2003-11-30,-2.8240776
Abim,Northern,2003-12-31,-2.9800847
Abim,Northern,2004-01-31,-2.506408
Abim,Northern,2004-02-29,-1.6828731
Abim,Northern,2004-03-31,-2.0134716
Abim,Northern,2004-04-30,-0.89623404
Abim,Northern,2004-05-31,-0.6033243
Abim,Northern,2004-06-30,-0.52160686
Abim,Northern,2004-07-31,-0.2916854
Abim,Northern,2004-08-31,-0.31640738
Abim,Northern,2004-09-30,-0.14598046
Abim,Northern,2004-10-31,-2.0356922
Abim,Northern,2004-11-30,-2.252941
Abim,Northern,2004-12-31,-2.5602243
Abim,Northern,2005-01-31,-2.1121478
Abim,Northern,2005-02-28,-3.2520144
Abim,Northern,2005-03-31,-1.4487461
Abim,Northern,2005-04-30,-1.7341479
Abim,Northern,2005-05-31,-0.49149302
Abim,Northern,2005-06-30,-0.32092068
Abim,Northern,2005-07-31,-0.1973633
Abim,Northern,2005-08-31,-0.380232
Abim,Northern,2005-09-30,-0.98198074
Abim,Northern,2005-10-31,-1.0185322
Abim,Northern,2005-11-30,-3.2974243
Abim,Northern,2005-12-31,-3.8312864
Abim,Northern,2006-01-31,-3.0069482
Abim,Northern,2006-02-28,-2.602717
Abim,Northern,2006-03-31,-0.5754592
Abim,Northern,2006-04-30,-0.76186603
Abim,Northern,2006-05-31,-0.16467877
Abim,Northern,2006-06-30,-0.044043034
Abim,Northern,2006-07-31,-0.22267942
Abim,Northern,2006-08-31,-0.44677496
Abim,Northern,2006-09-30,-0.29349154
Abim,Northern,2006-10-31,-2.0709257
Abim,Northern,2006-11-30,-1.5240237
Abim,Northern,2006-12-31,-1.712552
Abim,Northern,2007-01-31,-2.1286333
Abim,Northern,2007-02-28,-1.2224412
Abim,Northern,2007-03-31,-2.3563626
Abim,Northern,2007-04-30,-1.7426662
Abim,Northern,2007-05-31,-0.53334
Abim,Northern,2007-06-30,-0.034075398
Abim,Northern,2007-07-31,-0.3626653
Abim,Northern,2007-08-31,-0.5265788
Abim,Northern,2007-09-30,-0.5216847
Abim,Northern,2007-10-31,-2.3607912
Abim,Northern,2007-11-30,-3.182893
Abim,Northern,2007-12-31,-2.7640717
Abim,Northern,2008-01-31,-2.676134
Abim,Northern,2008-02-29,-1.737153
Abim,Northern,2008-03-31,-1.0508275
Abim,Northern,2008-04-30,-1.6563967
Abim,Northern,2008-05-31,-0.3406025
Abim,Northern,2008-06-30,-0.31007084
Abim,Northern,2008-07-31,-0.18988854
Abim,Northern,2008-08-31,-0.31973225
Abim,Northern,2008-09-30,-0.36697316
Abim,Northern,2008-10-31,-0.997269
Abim,Northern,2008-11-30,-2.283161
Abim,Northern,2008-12-31,-3.0210712
Abim,Northern,2009-01-31,-2.5393283
Abim,Northern,2009-02-28,-2.878357
Abim,Northern,2009-03-31,-2.4630666
Abim,Northern,2009-04-30,-0.5738163
Abim,Northern,2009-05-31,-1.0380596
Abim,Northern,2009-06-30,-0.4633125
Abim,Northern,2009-07-31,-0.2727406
Abim,Northern,2009-08-31,-0.56486255
Abim,Northern,2009-09-30,-0.21741408
Abim,Northern,2009-10-31,-1.9181312
Abim,Northern,2009-11-30,-2.1880043
Abim,Northern,2009-12-31,-2.0386624
Abim,Northern,2010-01-31,-2.7380383
Abim,Northern,2010-02-28,-1.627257
Abim,Northern,2010-03-31,-2.2938325
Abim,Northern,2010-04-30,-1.5492252
Abim,Northern,2010-05-31,-0.29054463
Abim,Northern,2010-06-30,-0.29806608
Abim,Northern,2010-07-31,-0.3791946
Abim,Northern,2010-08-31,-0.5618833
Abim,Northern,2010-09-30,-0.46048367
Abim,Northern,2010-10-31,-0.8751485
Abim,Northern,2010-11-30,-2.6892312
Abim,Northern,2010-12-31,-1.5688858
Abim,Northern,2011-01-31,-2.2385569
Abim,Northern,2011-02-28,-2.0188344
Abim,Northern,2011-03-31,-1.4330193
Abim,Northern,2011-04-30,-1.1131212
Abim,Northern,2011-05-31,-0.38746598
Abim,Northern,2011-06-30,-0.07722694
Abim,Northern,2011-07-31,-0.3741109
Abim,Northern,2011-08-31,-0.4378048
Abim,Northern,2011-09-30,-0.59666723
Abim,Northern,2011-10-31,-1.2876815
Abim,Northern,2011-11-30,-1.346148
Abim,Northern,2011-12-31,-2.3785305
Abim,Northern,2012-01-31,-2.3855867
Abim,Northern,2012-02-29,-2.8983653
Abim,Northern,2012-03-31,-2.5423398
Abim,Northern,2012-04-30,-0.6945143
Abim,Northern,2012-05-31,-0.29109678
Abim,Northern,2012-06-30,-0.114331365
Abim,Northern,2012-07-31,-0.21007864
Abim,Northern,2012-08-31,-0.29649234
Abim,Northern,2012-09-30,-0.42870525
Abim,Northern,2012-10-31,-1.7663456
Abim,Northern,2012-11-30,-1.959932
Abim,Northern,2012-12-31,-2.1025875
Abim,Northern,2013-01-31,-2.0329835
Abim,Northern,2013-02-28,-2.0803745
Abim,Northern,2013-03-31,-1.527155
Abim,Northern,2013-04-30,-0.5911221
Abim,Northern,2013-05-31,-0.57012933
Abim,Northern,2013-06-30,-0.3297889
Abim,Northern,2013-07-31,-0.12275056
Abim,Northern,2013-08-31,-0.42912722
Abim,Northern,2013-09-30,-0.35569444
Abim,Northern,2013-10-31,-0.87762004
Abim,Northern,2013-11-30,-2.482213
Abim,Northern,2013-12-31,-2.0718048
Abim,Northern,2014-01-31,-2.2484226
Abim,Northern,2014-02-28,-1.4405689
Abim,Northern,2014-03-31,-2.2544158
Abim,Northern,2014-04-30,-1.6987442
Abim,Northern,2014-05-31,-0.4626459
Abim,Northern,2014-06-30,-0.15721422
Abim,Northern,2014-07-31,-0.116958804
Abim,Northern,2014-08-31,-0.3250801
Abim,Northern,2014-09-30,-0.5768391
Abim,Northern,2014-10-31,-1.1303848
Abim,Northern,2014-11-30,-2.4156356
Abim,Northern,2014-12-31,-2.3615243
Abim,Northern,2015-01-31,-1.6221532
Abim,Northern,2015-02-28,-2.5133755
Abim,Northern,2015-03-31,-3.209976
Abim,Northern,2015-04-30,-0.6196131
Abim,Northern,2015-05-31,-0.059588075
Abim,Northern,2015-06-30,-0.13319214
Abim,Northern,2015-07-31,-0.5646593
Abim,Northern,2015-08-31,-0.4465369
Abim,Northern,2015-09-30,-0.441249
Abim,Northern,2015-10-31,-1.1841515
Abim,Northern,2015-11-30,-1.3613673
Abim,Northern,2015-12-31,-1.7059389
Abim,Northern,2016-01-31,-1.4486345
Abim,Northern,2016-02-29,-2.3836858
Abim,Northern,2016-03-31,-2.4761858
Abim,Northern,2016-04-30,-0.62720597
Abim,Northern,2016-05-31,-0.516996
Abim,Northern,2016-06-30,-0.33202735
Abim,Northern,2016-07-31,-0.11280414
Abim,Northern,2016-08-31,-0.90721655
Abim,Northern,2016-09-30,-0.64711547
Abim,Northern,2016-10-31,-2.0476818
Abim,Northern,2016-11-30,-3.1410983
Abim,Northern,2016-12-31,-3.836797
Abim,Northern,2017-01-31,-3.2635345
Abim,Northern,2017-02-28,-2.6796396
Abim,Northern,2017-03-31,-1.6805118
Abim,Northern,2017-04-30,-2.1880448
Abim,Northern,2017-05-31,-0.6511262
Abim,Northern,2017-06-30,-0.2627359
Abim,Northern,2017-07-31,-0.28696716
Abim,Northern,2017-08-31,-0.36615476
Abim,Northern,2017-09-30,-0.61446005
Abim,Northern,2017-10-31,-1.4927715
Abim,Northern,2017-11-30,-2.4728968
Abim,Northern,2017-12-31,-3.102333
Abim,Northern,2018-01-31,-0.95280856
Abim,Northern,2018-02-28,-3.1986895
Abim,Northern,2018-03-31,-1.2562271
Abim,Northern,2018-04-30,-0.4855964
Abim,Northern,2018-05-31,-0.28558025
Abim,Northern,2018-06-30,-0.45674673
Abim,Northern,2018-07-31,-0.5561537
Abim,Northern,2018-08-31,-0.32110104
Abim,Northern,2018-09-30,-1.3640646
Abim,Northern,2018-10-31,-1.6470469
Abim,Northern,2018-11-30,-3.151619
Abim,Northern,2018-12-31,-2.6272583
Abim,Northern,2019-01-31,-2.5022533
Abim,Northern,2019-02-28,-3.0741043
Abim,Northern,2019-03-31,-2.2922518
Abim,Northern,2019-04-30,-1.4063845
Abim,Northern,2019-05-31,-0.5120861
Abim,Northern,2019-06-30,-0.061060946
Abim,Northern,2019-07-31,-0.19267744
Abim,Northern,2019-08-31,-0.4851497
Abim,Northern,2019-09-30,-0.47760668
Abim,Northern,2019-10-31,-1.1249968
Abim,Northern,2019-11-30,-1.6915988
Abim,Northern,2019-12-31,-1.3647505
Abim,Northern,2020-01-31,-1.5300959
Abim,Northern,2020-02-29,-2.0305555
Abim,Northern,2020-03-31,-1.0718783
Abim,Northern,2020-04-30,-1.0976542
Abim,Northern,2020-05-31,-0.2030195
Abim,Northern,2020-06-30,0.04713055
Abim,Northern,2020-07-31,-0.11901894
Abim,Northern,2020-08-31,-0.5268559
Abim,Northern,2020-09-30,-0.4537253
Abim,Northern,2020-10-31,-0.8451586
Abim,Northern,2020-11-30,-1.7598114
Abim,Northern,2020-12-31,-2.366396
Abim,Northern,2021-01-31,-1.9281656
Abim,Northern,2021-02-28,-1.324648
Abim,Northern,2021-03-31,-2.302985
Abim,Northern,2021-04-30,-0.91744906
Abim,Northern,2021-05-31,-0.38908806
Abim,Northern,2021-06-30,-0.49239078
Abim,Northern,2021-07-31,-0.31746304
Abim,Northern,2021-08-31,-0.26512718
Abim,Northern,2021-09-30,-0.23255117
Abim,Northern,2021-10-31,-1.1946112
Abim,Northern,2021-11-30,-2.1690378
Abim,Northern,2021-12-31,-3.472144
Abim,Northern,2022-01-31,-2.2262743
Abim,Northern,2022-02-28,-0.77027303
Abim,Northern,2022-03-31,-1.7052889
Abim,Northern,2022-04-30,-1.321901
Abim,Northern,2022-05-31,-0.55449784
Abim,Northern,2022-06-30,-0.50583464
Abim,Northern,2022-07-31,-0.35126182
Abim,Northern,2022-08-31,-0.2391922
Abim,Northern,2022-09-30,-0.47923017
Abim,Northern,2022-10-31,-1.6430302
Abim,Northern,2022-11-30,-2.045069
Abim,Northern,2022-12-31,-1.8620065
Abim,Northern,2023-01-31,-2.9684641
Abim,Northern,2023-02-28,-2.5888383
Abim,Northern,2023-03-31,-1.0975467
Abim,Northern,2023-04-30,-1.675765
Abim,Northern,2023-05-31,-0.71843576
Abim,Northern,2023-06-30,0.105701655
Abim,Northern,2023-07-31,-0.14116691
Abim,Northern,2023-08-31,-1.0214294
Abim,Northern,2023-09-30,-0.1787715
Abim,Northern,2023-10-31,-1.9746093
Abim,Northern,2023-11-30,-2.4950736
Abim,Northern,2023-12-31,-1.7223287
Abim,Northern,2024-01-31,-0.67768997
Abim,Northern,2024-02-29,-1.6402313
Abim,Northern,2024-03-31,-2.3348713
Abim,Northern,2024-04-30,-0.3835372
Abim,Northern,2024-05-31,-0.34539652
Abim,Northern,2024-06-30,-0.022480369
Abim,Northern,2024-07-31,-0.024716714
Abim,Northern,2024-08-31,-0.50034237
Abim,Northern,2024-09-30,-0.38132277
Abim,Northern,2024-10-31,-0.5012068
Abim,Northern,2024-11-30,-1.4678383
Abim,Northern,2024-12-31,-2.0787847
Abim,Northern,2025-01-31,-1.5944648
Abim,Northern,2025-02-28,-3.1541889
Abim,Northern,2025-03-31,-1.9882697
Abim,Northern,2025-04-30,-1.0345465
Abim,Northern,2025-05-31,-0.30716303
Abim,Northern,2025-06-30,-0.105271876
Abim,Northern,2025-07-31,0.11921612
Abim,Northern,2025-08-31,0.09190399
Abim,Northern,2025-09-30,-0.1223645
Abim,Northern,2025-10-31,-0.71258694
Abim,Northern,2025-11-30,-1.4395069
Adjumani,Northern,1981-01-31,-0.2508235
Adjumani,Northern,1981-02-28,-0.54774123
Adjumani,Northern,1981-03-31,-0.23244087
Adjumani,Northern,1981-04-30,-0.5716542
Adjumani,Northern,1981-05-31,-0.36884925
Adjumani,Northern,1981-06-30,-0.48779574
Adjumani,Northern,1981-07-31,-0.23291168
Adjumani,Northern,1981-08-31,-0.21184246
Adjumani,Northern,1981-09-30,-0.12932001
Adjumani,Northern,1981-10-31,-0.122637525
Adjumani,Northern,1981-11-30,-0.22643375
Adjumani,Northern,1981-12-31,-0.4963348
Adjumani,Northern,1982-01-31,-0.24421892
Adjumani,Northern,1982-02-28,-0.3420263
Adjumani,Northern,1982-03-31,-0.52067935
Adjumani,Northern,1982-04-30,-0.4382597
Adjumani,Northern,1982-05-31,-0.38624662
Adjumani,Northern,1982-06-30,-0.41929585
Adjumani,Northern,1982-07-31,-0.5560029
Adjumani,Northern,1982-08-31,-0.46574536
Adjumani,Northern,1982-09-30,-0.15567139
Adjumani,Northern,1982-10-31,-0.16376643
Adjumani,Northern,1982-11-30,-0.22745852
Adjumani,Northern,1982-12-31,-0.6275602
Adjumani,Northern,1983-01-31,-0.44437987
Adjumani,Northern,1983-02-28,-0.78416073
Adjumani,Northern,1983-03-31,-0.49775696
Adjumani,Northern,1983-04-30,-0.52906716
Adjumani,Northern,1983-05-31,-0.53520626
Adjumani,Northern,1983-06-30,-0.31522426
Adjumani,Northern,1983-07-31,-0.4010014
Adjumani,Northern,1983-08-31,-0.097805396
Adjumani,Northern,1983-09-30,-0.25186032
Adjumani,Northern,1983-10-31,-0.1331058
Adjumani,Northern,1983-11-30,-0.19352773
Adjumani,Northern,1983-12-31,-0.16748013
Adjumani,Northern,1984-01-31,0.005302596
Adjumani,Northern,1984-02-29,-0.570922
Adjumani,Northern,1984-03-31,-0.58861697
Adjumani,Northern,1984-04-30,-0.46298623
Adjumani,Northern,1984-05-31,-0.5609687
Adjumani,Northern,1984-06-30,-0.62873614
Adjumani,Northern,1984-07-31,-0.4924534
Adjumani,Northern,1984-08-31,-0.3806569
Adjumani,Northern,1984-09-30,-0.16042218
Adjumani,Northern,1984-10-31,-0.6527076
Adjumani,Northern,1984-11-30,-0.24768773
Adjumani,Northern,1984-12-31,-0.689243
Adjumani,Northern,1985-01-31,-0.99058294
Adjumani,Northern,1985-02-28,0.21390228
Adjumani,Northern,1985-03-31,-1.1557134
Adjumani,Northern,1985-04-30,-0.25443017
Adjumani,Northern,1985-05-31,-0.44883388
Adjumani,Northern,1985-06-30,-0.37581286
Adjumani,Northern,1985-07-31,-0.51051855
Adjumani,Northern,1985-08-31,-0.54483783
Adjumani,Northern,1985-09-30,-0.2140599
Adjumani,Northern,1985-10-31,-0.39993307
Adjumani,Northern,1985-11-30,-0.5179592
Adjumani,Northern,1985-12-31,-0.15472087
Adjumani,Northern,1986-01-31,-0.113385595
Adjumani,Northern,1986-02-28,-0.21747749
Adjumani,Northern,1986-03-31,-0.19903657
Adjumani,Northern,1986-04-30,-0.4432303
Adjumani,Northern,1986-05-31,-0.4876154
Adjumani,Northern,1986-06-30,-0.32232544
Adjumani,Northern,1986-07-31,-0.25281027
Adjumani,Northern,1986-08-31,-0.29883382
Adjumani,Northern,1986-09-30,-0.19119449
Adjumani,Northern,1986-10-31,-0.034193724
Adjumani,Northern,1986-11-30,-0.27646428
Adjumani,Northern,1986-12-31,-0.17201506
Adjumani,Northern,1987-01-31,-0.206774
Adjumani,Northern,1987-02-28,-0.06311115
Adjumani,Northern,1987-03-31,-0.25566024
Adjumani,Northern,1987-04-30,-0.40676993
Adjumani,Northern,1987-05-31,-0.530526
Adjumani,Northern,1987-06-30,-0.2802009
Adjumani,Northern,1987-07-31,-0.4827312
Adjumani,Northern,1987-08-31,-0.5182087
Adjumani,Northern,1987-09-30,-0.06882674
Adjumani,Northern,1987-10-31,-0.09022971
Adjumani,Northern,1987-11-30,-0.33415642
Adjumani,Northern,1987-12-31,-0.6696141
Adjumani,Northern,1988-01-31,-0.40918717
Adjumani,Northern,1988-02-29,-0.86867887
Adjumani,Northern,1988-03-31,-0.25502017
Adjumani,Northern,1988-04-30,-0.46572953
Adjumani,Northern,1988-05-31,-0.57177174
Adjumani,Northern,1988-06-30,-0.5506359
Adjumani,Northern,1988-07-31,-0.29696113
