District,Region,Date,Dewpoint_Temperature
Abim,Northern,1991-12-31,284.97647
Abim,Northern,1992-01-31,283.4224
Abim,Northern,1992-02-29,284.2617
Abim,Northern,1992-03-31,284.4071
Abim,Northern,1992-04-30,289.35922
Abim,Northern,1992-05-31,291.73233
Abim,Northern,1992-06-30,291.4689
Abim,Northern,1992-07-31,290.57513
Abim,Northern,1992-08-31,290.2792
Abim,Northern,1992-09-30,288.74353
Abim,Northern,1992-10-31,290.2889
Abim,Northern,1992-11-30,286.87796
Abim,Northern,1992-12-31,287.2672
Abim,Northern,1993-01-31,285.15408
Abim,Northern,1993-02-28,285.55338
Abim,Northern,1993-03-31,285.02396
Abim,Northern,1993-04-30,287.86676
Abim,Northern,1993-05-31,292.01382
Abim,Northern,1993-06-30,290.91116
Abim,Northern,1993-07-31,289.69516
Abim,Northern,1993-08-31,288.62485
Abim,Northern,1993-09-30,287.20706
Abim,Northern,1993-10-31,285.60666
Abim,Northern,1993-11-30,286.301
Abim,Northern,1993-12-31,283.71603
Abim,Northern,1994-01-31,282.27795
Abim,Northern,1994-02-28,282.6233
Abim,Northern,1994-03-31,288.5356
Abim,Northern,1994-04-30,289.88394
Abim,Northern,1994-05-31,291.97153
Abim,Northern,1994-06-30,291.4144
Abim,Northern,1994-07-31,291.1161
Abim,Northern,1994-08-31,290.7133
Abim,Northern,1994-09-30,287.97452
Abim,Northern,1994-10-31,288.33606
Abim,Northern,1994-11-30,289.42358
Abim,Northern,1994-12-31,283.9242
Abim,Northern,1995-01-31,281.44107
Abim,Northern,1995-02-28,284.5953
Abim,Northern,1995-03-31,287.40042
Abim,Northern,1995-04-30,290.35767
Abim,Northern,1995-05-31,291.50162
Abim,Northern,1995-06-30,291.07693
Abim,Northern,1995-07-31,290.97775
Abim,Northern,1995-08-31,290.06058
Abim,Northern,1995-09-30,289.17642
Abim,Northern,1995-10-31,289.0354
Abim,Northern,1995-11-30,287.9531
Abim,Northern,1995-12-31,285.57376
Abim,Northern,1996-01-31,284.67014
Abim,Northern,1996-02-29,286.45142
Abim,Northern,1996-03-31,288.06543
Abim,Northern,1996-04-30,291.0388
Abim,Northern,1996-05-31,291.6442
Abim,Northern,1996-06-30,291.27505
Abim,Northern,1996-07-31,290.38135
Abim,Northern,1996-08-31,290.45908
Abim,Northern,1996-09-30,290.29532
Abim,Northern,1996-10-31,287.5709
Abim,Northern,1996-11-30,286.8539
Abim,Northern,1996-12-31,283.94534
Abim,Northern,1997-01-31,283.6226
Abim,Northern,1997-02-28,279.4299
Abim,Northern,1997-03-31,284.17953
Abim,Northern,1997-04-30,291.1431
Abim,Northern,1997-05-31,290.8494
Abim,Northern,1997-06-30,289.73834
Abim,Northern,1997-07-31,290.57852
Abim,Northern,1997-08-31,288.97818
Abim,Northern,1997-09-30,283.77005
Abim,Northern,1997-10-31,288.5486
Abim,Northern,1997-11-30,290.71152
Abim,Northern,1997-12-31,289.46692
Abim,Northern,1998-01-31,287.915
Abim,Northern,1998-02-28,287.1027
Abim,Northern,1998-03-31,285.8617
Abim,Northern,1998-04-30,290.5704
Abim,Northern,1998-05-31,292.0966
Abim,Northern,1998-06-30,291.46555
Abim,Northern,1998-07-31,290.92276
Abim,Northern,1998-08-31,290.8262
Abim,Northern,1998-09-30,289.30054
Abim,Northern,1998-10-31,290.49463
Abim,Northern,1998-11-30,285.75912
Abim,Northern,1998-12-31,282.58157
Abim,Northern,1999-01-31,283.41367
Abim,Northern,1999-02-28,280.16284
Abim,Northern,1999-03-31,289.1056
Abim,Northern,1999-04-30,290.01547
Abim,Northern,1999-05-31,291.2192
Abim,Northern,1999-06-30,289.95566
Abim,Northern,1999-07-31,289.9082
Abim,Northern,1999-08-31,290.43433
Abim,Northern,1999-09-30,289.54074
Abim,Northern,1999-10-31,289.78427
Abim,Northern,1999-11-30,285.9567
Abim,Northern,1999-12-31,285.21695
Abim,Northern,2000-01-31,280.89505
Abim,Northern,2000-02-29,281.0715
Abim,Northern,2000-03-31,284.8796
Abim,Northern,2000-04-30,288.9641
Abim,Northern,2000-05-31,290.91763
Abim,Northern,2000-06-30,289.54468
Abim,Northern,2000-07-31,290.30048
Abim,Northern,2000-08-31,290.3779
Abim,Northern,2000-09-30,288.0973
Abim,Northern,2000-10-31,289.51633
Abim,Northern,2000-11-30,287.53873
Abim,Northern,2000-12-31,286.09647
Abim,Northern,2001-01-31,284.68045
Abim,Northern,2001-02-28,284.5076
Abim,Northern,2001-03-31,286.87418
Abim,Northern,2001-04-30,290.67728
Abim,Northern,2001-05-31,292.26727
Abim,Northern,2001-06-30,290.8708
Abim,Northern,2001-07-31,290.4473
Abim,Northern,2001-08-31,291.11484
Abim,Northern,2001-09-30,290.1174
Abim,Northern,2001-10-31,289.759
Abim,Northern,2001-11-30,289.4933
Abim,Northern,2001-12-31,285.3245
Abim,Northern,2002-01-31,284.8009
Abim,Northern,2002-02-28,281.6792
Abim,Northern,2002-03-31,289.36328
Abim,Northern,2002-04-30,290.042
Abim,Northern,2002-05-31,290.9014
Abim,Northern,2002-06-30,289.35526
Abim,Northern,2002-07-31,287.9379
Abim,Northern,2002-08-31,289.1243
Abim,Northern,2002-09-30,285.64288
Abim,Northern,2002-10-31,288.04208
Abim,Northern,2002-11-30,287.31302
Abim,Northern,2002-12-31,287.1169
Abim,Northern,2003-01-31,283.5249
Abim,Northern,2003-02-28,282.8776
Abim,Northern,2003-03-31,285.5117
Abim,Northern,2003-04-30,289.06036
Abim,Northern,2003-05-31,292.14328
Abim,Northern,2003-06-30,291.44284
Abim,Northern,2003-07-31,291.16287
Abim,Northern,2003-08-31,291.06128
Abim,Northern,2003-09-30,289.06616
Abim,Northern,2003-10-31,287.42075
Abim,Northern,2003-11-30,287.55338
Abim,Northern,2003-12-31,283.18042
Abim,Northern,2004-01-31,286.0762
Abim,Northern,2004-02-29,283.8389
Abim,Northern,2004-03-31,284.946
Abim,Northern,2004-04-30,291.38223
Abim,Northern,2004-05-31,290.75858
Abim,Northern,2004-06-30,290.01535
Abim,Northern,2004-07-31,289.5632
Abim,Northern,2004-08-31,290.2056
Abim,Northern,2004-09-30,289.40555
Abim,Northern,2004-10-31,287.639
Abim,Northern,2004-11-30,289.16937
Abim,Northern,2004-12-31,286.5016
Abim,Northern,2005-01-31,283.3967
Abim,Northern,2005-02-28,282.26877
Abim,Northern,2005-03-31,288.488
Abim,Northern,2005-04-30,289.04642
Abim,Northern,2005-05-31,292.01804
Abim,Northern,2005-06-30,290.8843
Abim,Northern,2005-07-31,290.33252
Abim,Northern,2005-08-31,290.13266
Abim,Northern,2005-09-30,289.04108
Abim,Northern,2005-10-31,287.46667
Abim,Northern,2005-11-30,286.00174
Abim,Northern,2005-12-31,280.7157
Abim,Northern,2006-01-31,283.51425
Abim,Northern,2006-02-28,285.11047
Abim,Northern,2006-03-31,289.2747
Abim,Northern,2006-04-30,291.4569
Abim,Northern,2006-05-31,291.98312
Abim,Northern,2006-06-30,291.2451
Abim,Northern,2006-07-31,290.7331
Abim,Northern,2006-08-31,290.82315
Abim,Northern,2006-09-30,289.58224
Abim,Northern,2006-10-31,288.36423
Abim,Northern,2006-11-30,289.44833
Abim,Northern,2006-12-31,287.9794
Abim,Northern,2007-01-31,285.69507
Abim,Northern,2007-02-28,287.03436
Abim,Northern,2007-03-31,286.21777
Abim,Northern,2007-04-30,289.05725
Abim,Northern,2007-05-31,291.01523
Abim,Northern,2007-06-30,291.2109
Abim,Northern,2007-07-31,290.767
Abim,Northern,2007-08-31,291.12527
Abim,Northern,2007-09-30,291.27322
Abim,Northern,2007-10-31,287.81818
Abim,Northern,2007-11-30,286.41937
Abim,Northern,2007-12-31,283.28186
Abim,Northern,2008-01-31,283.72348
Abim,Northern,2008-02-29,284.34854
Abim,Northern,2008-03-31,287.68326
Abim,Northern,2008-04-30,289.0646
Abim,Northern,2008-05-31,289.60632
Abim,Northern,2008-06-30,290.1544
Abim,Northern,2008-07-31,290.5504
Abim,Northern,2008-08-31,290.27634
Abim,Northern,2008-09-30,290.19055
Abim,Northern,2008-10-31,290.66068
Abim,Northern,2008-11-30,287.51242
Abim,Northern,2008-12-31,282.93588
Abim,Northern,2009-01-31,283.863
Abim,Northern,2009-02-28,283.7972
Abim,Northern,2009-03-31,284.79593
Abim,Northern,2009-04-30,291.14395
Abim,Northern,2009-05-31,290.6364
Abim,Northern,2009-06-30,289.34827
Abim,Northern,2009-07-31,289.36063
Abim,Northern,2009-08-31,288.22067
Abim,Northern,2009-09-30,288.42917
Abim,Northern,2009-10-31,288.81067
Abim,Northern,2009-11-30,286.5548
Abim,Northern,2009-12-31,287.6292
Abim,Northern,2010-01-31,284.6365
Abim,Northern,2010-02-28,288.1223
Abim,Northern,2010-03-31,289.16153
Abim,Northern,2010-04-30,291.00864
Abim,Northern,2010-05-31,292.7048
Abim,Northern,2010-06-30,291.79782
Abim,Northern,2010-07-31,290.7726
Abim,Northern,2010-08-31,290.52463
Abim,Northern,2010-09-30,290.53906
Abim,Northern,2010-10-31,289.7227
Abim,Northern,2010-11-30,286.08057
Abim,Northern,2010-12-31,284.9295
Abim,Northern,2011-01-31,283.1651
Abim,Northern,2011-02-28,282.22726
Abim,Northern,2011-03-31,286.91068
Abim,Northern,2011-04-30,288.79968
Abim,Northern,2011-05-31,291.84875
Abim,Northern,2011-06-30,291.61215
Abim,Northern,2011-07-31,290.99252
Abim,Northern,2011-08-31,290.94046
Abim,Northern,2011-09-30,290.70135
Abim,Northern,2011-10-31,289.9474
Abim,Northern,2011-11-30,290.566
Abim,Northern,2011-12-31,286.02396
Abim,Northern,2012-01-31,280.82214
Abim,Northern,2012-02-29,281.7422
Abim,Northern,2012-03-31,283.21167
Abim,Northern,2012-04-30,290.24716
Abim,Northern,2012-05-31,292.00436
Abim,Northern,2012-06-30,291.54922
Abim,Northern,2012-07-31,291.34375
Abim,Northern,2012-08-31,291.51016
Abim,Northern,2012-09-30,290.72424
Abim,Northern,2012-10-31,289.558
Abim,Northern,2012-11-30,289.33032
Abim,Northern,2012-12-31,287.49936
Abim,Northern,2013-01-31,285.66833
Abim,Northern,2013-02-28,284.56265
Abim,Northern,2013-03-31,288.50336
Abim,Northern,2013-04-30,292.26382
Abim,Northern,2013-05-31,291.14563
Abim,Northern,2013-06-30,290.85468
Abim,Northern,2013-07-31,290.53232
Abim,Northern,2013-08-31,290.86295
Abim,Northern,2013-09-30,290.74353
Abim,Northern,2013-10-31,289.82816
Abim,Northern,2013-11-30,288.6785
Abim,Northern,2013-12-31,285.18384
Abim,Northern,2014-01-31,283.01755
Abim,Northern,2014-02-28,283.3546
Abim,Northern,2014-03-31,286.62088
Abim,Northern,2014-04-30,288.34048
Abim,Northern,2014-05-31,291.70792
Abim,Northern,2014-06-30,291.71204
Abim,Northern,2014-07-31,290.86893
Abim,Northern,2014-08-31,290.6609
Abim,Northern,2014-09-30,289.37955
Abim,Northern,2014-10-31,290.48987
Abim,Northern,2014-11-30,288.70804
Abim,Northern,2014-12-31,285.0632
Abim,Northern,2015-01-31,279.67923
Abim,Northern,2015-02-28,283.2126
Abim,Northern,2015-03-31,283.67667
Abim,Northern,2015-04-30,291.70316
Abim,Northern,2015-05-31,292.4901
Abim,Northern,2015-06-30,292.06442
Abim,Northern,2015-07-31,290.15506
Abim,Northern,2015-08-31,289.3539
Abim,Northern,2015-09-30,287.9304
Abim,Northern,2015-10-31,289.60526
Abim,Northern,2015-11-30,290.92575
Abim,Northern,2015-12-31,288.0681
Abim,Northern,2016-01-31,285.93945
Abim,Northern,2016-02-29,282.95633
Abim,Northern,2016-03-31,286.5421
Abim,Northern,2016-04-30,291.92313
Abim,Northern,2016-05-31,291.73175
Abim,Northern,2016-06-30,290.43472
Abim,Northern,2016-07-31,290.90494
Abim,Northern,2016-08-31,289.58487
Abim,Northern,2016-09-30,287.9779
Abim,Northern,2016-10-31,286.3602
Abim,Northern,2016-11-30,286.63882
Abim,Northern,2016-12-31,282.86725
Abim,Northern,2017-01-31,279.3286
Abim,Northern,2017-02-28,284.9548
Abim,Northern,2017-03-31,285.81094
Abim,Northern,2017-04-30,287.1018
Abim,Northern,2017-05-31,291.29303
Abim,Northern,2017-06-30,289.56796
Abim,Northern,2017-07-31,291.25357
Abim,Northern,2017-08-31,290.37582
Abim,Northern,2017-09-30,290.51138
Abim,Northern,2017-10-31,289.40387
Abim,Northern,2017-11-30,287.8873
Abim,Northern,2017-12-31,281.66675
Abim,Northern,2018-01-31,282.07376
Abim,Northern,2018-02-28,283.2842
Abim,Northern,2018-03-31,290.2324
Abim,Northern,2018-04-30,291.60153
Abim,Northern,2018-05-31,292.1284
Abim,Northern,2018-06-30,291.33615
Abim,Northern,2018-07-31,290.0606
Abim,Northern,2018-08-31,289.6226
Abim,Northern,2018-09-30,287.89493
Abim,Northern,2018-10-31,287.76535
Abim,Northern,2018-11-30,285.80276
Abim,Northern,2018-12-31,285.60904
Abim,Northern,2019-01-31,281.6512
Abim,Northern,2019-02-28,282.2457
Abim,Northern,2019-03-31,284.11404
Abim,Northern,2019-04-30,287.5034
Abim,Northern,2019-05-31,291.1039
Abim,Northern,2019-06-30,291.72534
Abim,Northern,2019-07-31,290.9003
Abim,Northern,2019-08-31,290.74695
Abim,Northern,2019-09-30,290.64777
Abim,Northern,2019-10-31,290.8493
Abim,Northern,2019-11-30,289.2686
Abim,Northern,2019-12-31,289.59457
Abim,Northern,2020-01-31,286.42435
Abim,Northern,2020-02-29,287.45963
Abim,Northern,2020-03-31,290.8907
Abim,Northern,2020-04-30,290.54492
Abim,Northern,2020-05-31,292.26248
Abim,Northern,2020-06-30,291.65927
Abim,Northern,2020-07-31,290.93155
Abim,Northern,2020-08-31,291.2468
Abim,Northern,2020-09-30,291.21848
Abim,Northern,2020-10-31,291.3474
Abim,Northern,2020-11-30,289.30103
Abim,Northern,2020-12-31,285.53372
Abim,Northern,2021-01-31,284.55942
Abim,Northern,2021-02-28,284.61484
Abim,Northern,2021-03-31,284.9715
Abim,Northern,2021-04-30,290.07874
Abim,Northern,2021-05-31,291.52707
Abim,Northern,2021-06-30,289.13766
Abim,Northern,2021-07-31,290.28293
Abim,Northern,2021-08-31,289.47452
Abim,Northern,2021-09-30,291.13254
Abim,Northern,2021-10-31,289.4087
Abim,Northern,2021-11-30,286.69748
Abim,Northern,2021-12-31,284.95422
Abim,Northern,2022-01-31,283.83087
Abim,Northern,2022-02-28,285.93594
Abim,Northern,2022-03-31,286.03192
Abim,Northern,2022-04-30,289.17175
Abim,Northern,2022-05-31,291.76315
Abim,Northern,2022-06-30,290.81064
Abim,Northern,2022-07-31,290.46378
Abim,Northern,2022-08-31,291.0373
Abim,Northern,2022-09-30,289.64954
Abim,Northern,2022-10-31,287.07214
Abim,Northern,2022-11-30,286.83688
Abim,Northern,2022-12-31,285.93375
Abim,Northern,2023-01-31,281.38107
Abim,Northern,2023-02-28,281.46655
Abim,Northern,2023-03-31,288.66916
Abim,Northern,2023-04-30,289.58823
Abim,Northern,2023-05-31,290.64343
Abim,Northern,2023-06-30,290.59366
Abim,Northern,2023-07-31,290.07565
Abim,Northern,2023-08-31,287.18997
Abim,Northern,2023-09-30,290.4225
Abim,Northern,2023-10-31,289.01144
Abim,Northern,2023-11-30,289.3325
Abim,Northern,2023-12-31,287.08334
Abim,Northern,2024-01-31,287.36487
Abim,Northern,2024-02-29,286.74826
Abim,Northern,2024-03-31,286.59692
Abim,Northern,2024-04-30,292.21854
Abim,Northern,2024-05-31,292.06567
Abim,Northern,2024-06-30,290.52536
Abim,Northern,2024-07-31,291.29294
Abim,Northern,2024-08-31,291.1515
Abim,Northern,2024-09-30,289.11255
Abim,Northern,2024-10-31,289.8494
Abim,Northern,2024-11-30,288.47238
Abim,Northern,2024-12-31,284.44522
Abim,Northern,2025-01-31,283.31894
Abim,Northern,2025-02-28,280.87045
Abim,Northern,2025-03-31,286.7024
Abim,Northern,2025-04-30,289.8256
Abim,Northern,2025-05-31,291.59427
Abim,Northern,2025-06-30,290.01443
Abim,Northern,2025-07-31,290.67072
Abim,Northern,2025-08-31,291.09402
Abim,Northern,2025-09-30,290.28494
Abim,Northern,2025-10-31,290.1776
Abim,Northern,2025-11-30,289.84055
Adjumani,Northern,1981-01-31,285.48886
Adjumani,Northern,1981-02-28,284.14093
Adjumani,Northern,1981-03-31,291.47266
Adjumani,Northern,1981-04-30,293.44727
Adjumani,Northern,1981-05-31,293.5415
Adjumani,Northern,1981-06-30,293.20062
Adjumani,Northern,1981-07-31,292.7955
Adjumani,Northern,1981-08-31,293.0795
Adjumani,Northern,1981-09-30,293.14087
Adjumani,Northern,1981-10-31,293.34375
Adjumani,Northern,1981-11-30,292.45154
Adjumani,Northern,1981-12-31,289.53714
Adjumani,Northern,1982-01-31,289.8874
Adjumani,Northern,1982-02-28,284.2681
Adjumani,Northern,1982-03-31,290.06488
Adjumani,Northern,1982-04-30,293.16016
Adjumani,Northern,1982-05-31,293.7094
Adjumani,Northern,1982-06-30,293.45227
Adjumani,Northern,1982-07-31,292.68057
Adjumani,Northern,1982-08-31,292.751
Adjumani,Northern,1982-09-30,293.086
Adjumani,Northern,1982-10-31,293.05713
Adjumani,Northern,1982-11-30,292.11786
Adjumani,Northern,1982-12-31,290.51035
Adjumani,Northern,1983-01-31,282.85318
Adjumani,Northern,1983-02-28,285.24286
Adjumani,Northern,1983-03-31,290.51306
Adjumani,Northern,1983-04-30,293.9376
Adjumani,Northern,1983-05-31,294.1936
Adjumani,Northern,1983-06-30,293.57758
Adjumani,Northern,1983-07-31,293.06195
Adjumani,Northern,1983-08-31,293.05685
Adjumani,Northern,1983-09-30,293.134
Adjumani,Northern,1983-10-31,293.24506
Adjumani,Northern,1983-11-30,292.78424
Adjumani,Northern,1983-12-31,287.29266
Adjumani,Northern,1984-01-31,282.1359
Adjumani,Northern,1984-02-29,284.22055
Adjumani,Northern,1984-03-31,289.97784
Adjumani,Northern,1984-04-30,293.48233
Adjumani,Northern,1984-05-31,293.34113
Adjumani,Northern,1984-06-30,292.3735
Adjumani,Northern,1984-07-31,292.32294
Adjumani,Northern,1984-08-31,292.82477
Adjumani,Northern,1984-09-30,292.57758
Adjumani,Northern,1984-10-31,292.05942
Adjumani,Northern,1984-11-30,292.3375
Adjumani,Northern,1984-12-31,289.09335
Adjumani,Northern,1985-01-31,285.8154
Adjumani,Northern,1985-02-28,281.67255
Adjumani,Northern,1985-03-31,288.23648
Adjumani,Northern,1985-04-30,293.09122
Adjumani,Northern,1985-05-31,293.33563
Adjumani,Northern,1985-06-30,292.78436
Adjumani,Northern,1985-07-31,292.04422
Adjumani,Northern,1985-08-31,292.315
Adjumani,Northern,1985-09-30,292.80566
Adjumani,Northern,1985-10-31,292.53854
Adjumani,Northern,1985-11-30,291.74225
Adjumani,Northern,1985-12-31,289.2139
Adjumani,Northern,1986-01-31,284.96393
Adjumani,Northern,1986-02-28,290.84515
Adjumani,Northern,1986-03-31,292.40378
Adjumani,Northern,1986-04-30,293.43658
Adjumani,Northern,1986-05-31,293.62677
Adjumani,Northern,1986-06-30,292.8672
Adjumani,Northern,1986-07-31,292.26544
Adjumani,Northern,1986-08-31,292.8001
Adjumani,Northern,1986-09-30,292.91974
Adjumani,Northern,1986-10-31,292.8312
Adjumani,Northern,1986-11-30,292.53973
Adjumani,Northern,1986-12-31,288.1988
Adjumani,Northern,1987-01-31,284.83746
Adjumani,Northern,1987-02-28,287.98242
Adjumani,Northern,1987-03-31,292.8875
Adjumani,Northern,1987-04-30,293.59943
Adjumani,Northern,1987-05-31,293.91925
Adjumani,Northern,1987-06-30,293.24692
Adjumani,Northern,1987-07-31,293.08078
Adjumani,Northern,1987-08-31,292.85724
Adjumani,Northern,1987-09-30,293.5892
Adjumani,Northern,1987-10-31,293.76718
Adjumani,Northern,1987-11-30,292.96515
Adjumani,Northern,1987-12-31,288.92957
Adjumani,Northern,1988-01-31,288.2884
Adjumani,Northern,1988-02-29,289.0337
Adjumani,Northern,1988-03-31,292.35962
Adjumani,Northern,1988-04-30,293.70087
Adjumani,Northern,1988-05-31,293.68985
Adjumani,Northern,1988-06-30,292.63715
Adjumani,Northern,1988-07-31,292.73248
Adjumani,Northern,1988-08-31,293.0229
Adjumani,Northern,1988-09-30,293.24664
Adjumani,Northern,1988-10-31,292.9591
Adjumani,Northern,1988-11-30,292.32364
Adjumani,Northern,1988-12-31,287.84055
Adjumani,Northern,1989-01-31,280.3174
Adjumani,Northern,1989-02-28,284.04272
Adjumani,Northern,1989-03-31,290.67752
Adjumani,Northern,1989-04-30,292.54147
Adjumani,Northern,1989-05-31,293.2354
Adjumani,Northern,1989-06-30,292.37924
Adjumani,Northern,1989-07-31,292.24615
Adjumani,Northern,1989-08-31,292.6094
Adjumani,Northern,1989-09-30,292.6354
Adjumani,Northern,1989-10-31,293.07025
Adjumani,Northern,1989-11-30,292.4728
Adjumani,Northern,1989-12-31,291.62076
Adjumani,Northern,1990-01-31,288.19382
Adjumani,Northern,1990-02-28,291.0999
Adjumani,Northern,1990-03-31,292.18774
Adjumani,Northern,1990-04-30,293.54468
Adjumani,Northern,1990-05-31,293.75974
Adjumani,Northern,1990-06-30,292.52036
Adjumani,Northern,1990-07-31,292.4951
Adjumani,Northern,1990-08-31,293.03137
Adjumani,Northern,1990-09-30,293.33218
Adjumani,Northern,1990-10-31,292.75735
Adjumani,Northern,1990-11-30,291.9149
Adjumani,Northern,1990-12-31,290.9767
Adjumani,Northern,1991-01-31,289.71344
Adjumani,Northern,1991-02-28,290.24268
Adjumani,Northern,1991-03-31,291.13235
Adjumani,Northern,1991-04-30,293.53195
Adjumani,Northern,1991-05-31,293.95554
Adjumani,Northern,1991-06-30,293.9007
Adjumani,Northern,1991-07-31,292.6752
Adjumani,Northern,1991-08-31,292.9709
Adjumani,Northern,1991-09-30,293.13812
Adjumani,Northern,1991-10-31,292.81824
Adjumani,Northern,1991-11-30,291.94147
Adjumani,Northern,1991-12-31,287.99207
Adjumani,Northern,1992-01-31,284.59305
Adjumani,Northern,1992-02-29,282.49472
Adjumani,Northern,1992-03-31,285.88092
Adjumani,Northern,1992-04-30,293.24667
Adjumani,Northern,1992-05-31,293.7834
Adjumani,Northern,1992-06-30,293.36713
Adjumani,Northern,1992-07-31,292.68423
Adjumani,Northern,1992-08-31,292.71637
Adjumani,Northern,1992-09-30,292.76245
Adjumani,Northern,1992-10-31,292.7965
Adjumani,Northern,1992-11-30,291.633
Adjumani,Northern,1992-12-31,290.06964
Adjumani,Northern,1993-01-31,285.07635
